sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4200001,XOR2,A1_to_Z_A2_held_1,4.23860217093878,0.28,1.9988795650425204,1.8920014961500418,44.88953853477733,9.80908749660738,51.170604173918264,ff,0.0936872,0.109477,0.1015821,6.24918,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200001_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200001_XOR2.log,85,2,2,ff,random,1,1,0.8997214160044678,,0.052384226257070086,0.6839729184402248
4200002,NAND2,A1_A2_tied_to_Z,4.852646967487585,0.28,2.0333357381723496,1.725069083130752,-2.606459168712359,9.507570025507741,292.13997858147013,ff,0.116047,0.0720909,0.09406895,2.78732,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200002_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200002_NAND2.log,37,2,2,ff,random,2,1,0.5665737079980318,,0.06602568041585527,0.7217384924281119
4200003,INV,I_to_Z,2.625013474395896,0.28,2.1410284698024054,1.646742863891897,24.751524081201367,79.76770482430817,413.27337927508046,ff,0.242259,0.300818,0.2715385,6.84894,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200003_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200003_INV.log,15,2,2,ff,random,3,1,0.38084562501171604,,0.13712260832509288,0.5022269390250241
4200004,NOR2,A1_A2_tied_to_Z,4.243062276356667,0.28,1.8685510246815975,1.7087912302282806,77.62999474507338,89.82520883989346,206.18682987563577,ff,0.105239,0.401407,0.25332299999999996,9.41405,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200004_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200004_NOR2.log,69,2,2,ff,random,4,1,0.569343499984825,,0.24003881459451185,0.6365418251866677
4200005,NOR2,A1_A2_tied_to_Z,2.455701962831472,0.28,1.71542677635646,1.8087192261148535,-13.311603691261357,29.289652676800205,494.5313222162718,ff,0.0881522,0.326399,0.20727560000000003,3.77222,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200005_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200005_NOR2.log,71,2,2,ff,random,5,2,0.5649576249998063,,0.13928968102917608,0.6542185118890497
4200006,NOR2,A1_A2_tied_to_Z,4.3455444500100615,0.28,2.9157527258694556,1.6535185986726362,74.49675182533622,73.2673254217525,420.3577303738366,ff,0.130431,0.316226,0.2233285,8.09681,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200006_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200006_NOR2.log,68,2,2,ff,random,6,2,0.5625016250123736,,0.13398066715173507,0.6283039413244383
4200007,NAND2,A1_A2_tied_to_Z,4.469432457534023,0.28,2.203726402923267,1.6710780231052456,4.581109253959099,63.07677411960277,409.5468208139633,ff,0.24853000000000003,0.151845,0.20018750000000002,6.99405,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200007_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200007_NAND2.log,35,2,2,ff,random,7,2,0.5538199580041692,,0.06538873605203235,0.3230548730240905
4200008,NAND2,A1_A2_tied_to_Z,2.5792974876409347,0.28,1.9004732668270892,1.9773360006685703,82.39414231529483,98.52924416064707,383.0529344440205,ff,0.400714,0.203137,0.3019255,12.7266,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200008_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200008_NAND2.log,28,2,2,ff,random,8,2,0.5574044170207344,,0.28599860588770204,0.8187449550952458
4200009,XOR2,A1_to_Z_A2_held_1,3.0153015160297856,0.28,2.2904636476572735,1.9071843461060953,80.58393107012684,55.640947897924434,368.79940166012506,ff,0.24903000000000003,0.274318,0.261674,10.1645,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200009_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200009_XOR2.log,89,2,2,ff,random,9,3,0.9598066249745898,,0.14842316851283954,0.4918002842420208
4200010,XOR2,A1_to_Z_A2_held_1,1.5636600195682588,0.28,2.9984863091839378,1.706806110161897,63.495718218359514,18.257517694916363,490.3798499067731,ff,0.274812,0.268189,0.2715005,3.62557,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200010_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200010_XOR2.log,77,2,2,ff,random,10,3,0.9509780830121599,,0.23342999261089264,0.8068022227024045
4200011,INV,I_to_Z,4.964791538290152,0.28,1.8119892796491819,1.9148704212950278,61.918538211336596,47.28915606917985,181.83727688001926,ff,0.0878542,0.114593,0.1012236,6.5111,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200011_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200011_INV.log,16,2,2,ff,random,11,3,0.4371181659807917,,0.027489484989390255,0.47144917092311606
4200012,INV,I_to_Z,1.1562390846253132,0.28,1.6024490989929305,1.9628729788945853,38.59641264230062,78.85104774791476,396.493354929044,ff,0.353372,0.529543,0.4414575,9.06671,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/random/netlists/4200012_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/random/logs/4200012_INV.log,19,2,2,ff,random,12,3,0.4332520839816425,,0.3239605060258337,0.5021092487867682
