sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4004001,INV,I_to_Z,3.144133709588701,0.28,2.8100099416787128,1.6935860256729454,-14.621578420154403,97.57800466599299,30.066014179784982,ff,0.155834,0.151296,0.153565,9.11702,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004001_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004001_INV.log,12,0,0,ff,cell_balanced_space_filling,1,1,0.42022787500172853,0.9930792436471827,0.2753520935647569,0.9930792436471827
4004002,NAND2,A1_A2_tied_to_Z,1.0761551248369936,0.28,1.5724273112483942,1.9205762042379586,94.04528972620268,57.0363167248381,430.4749049171271,ff,0.539478,0.29424,0.416859,6.61759,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004002_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004002_NAND2.log,32,0,0,ff,cell_balanced_space_filling,2,1,0.6002453330147546,0.8977438183478809,0.6543698240445782,0.8977438183478809
4004003,NOR2,A1_A2_tied_to_Z,4.9874981681855814,0.28,2.9108886528133384,1.9371103655502497,80.50688485995458,36.66632282468734,454.4166119212208,ff,0.0659096,0.20783500000000002,0.1368723,8.001,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004003_NOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004003_NOR2.log,59,0,0,ff,cell_balanced_space_filling,3,1,0.602761374990223,1.0,0.0296678008592529,1.0
4004004,XOR2,A1_to_Z_A2_held_1,3.200298665421035,0.28,2.5164923207517758,1.955456486843827,94.47309293726356,91.72677304156934,44.86730410226561,ff,0.249259,0.245556,0.2474075,15.1157,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004004_XOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004004_XOR2.log,77,0,0,ff,cell_balanced_space_filling,4,1,0.951824208983453,0.9046794264862972,0.1762919589934626,0.9046794264862972
4004005,INV,I_to_Z,4.4369031076636585,0.28,1.5750840757339246,1.6218634516829038,47.666964314575,25.504428428013682,325.06429992467037,ff,0.0972033,0.15152000000000002,0.12436165,2.75996,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004005_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004005_INV.log,21,0,0,ff,cell_balanced_space_filling,5,2,0.39083029099856503,0.9396314339598626,0.033718201415668454,0.9396314339598626
4004006,NAND2,A1_A2_tied_to_Z,1.4934462227784173,0.28,2.3439325539544935,1.645231806288066,5.972140828810453,3.430741501673619,340.5149533739135,ff,0.143541,0.0819306,0.11273580000000001,0.879447,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004006_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004006_NAND2.log,35,0,0,ff,cell_balanced_space_filling,6,2,0.5647837090073153,0.9442547120214084,0.23658716317631742,0.9442547120214084
4004007,NOR2,A1_A2_tied_to_Z,2.4871607314510924,0.28,1.99533063406231,1.6555648771034448,-17.608070956458402,26.906455160238046,468.04651033257966,ff,0.101137,0.315027,0.20808200000000002,3.02907,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004007_NOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004007_NOR2.log,53,0,0,ff,cell_balanced_space_filling,7,2,0.5785468749818392,0.9789933179455509,0.13744211121154462,0.9789933179455509
4004008,XOR2,A1_to_Z_A2_held_1,4.003105808978889,0.28,1.5717613522617269,1.777268953409474,13.460756846229337,5.416819734256082,52.26060316611844,ff,0.0804255,0.118086,0.09925574999999999,4.18182,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004008_XOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004008_XOR2.log,87,0,0,ff,cell_balanced_space_filling,8,2,0.9158047080272809,1.0,0.0471225574952601,1.0
4004009,INV,I_to_Z,1.1729615784258427,0.28,2.927726350453336,1.9041778346280784,77.62961471275162,2.824140269712446,209.0980481683664,ff,0.0614289,0.0608541,0.061141499999999994,0.803265,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004009_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004009_INV.log,7,0,0,ff,cell_balanced_space_filling,9,3,0.40246508398558944,1.0,0.1782477613624026,1.0
4004010,NAND2,A1_A2_tied_to_Z,2.011663117873839,0.28,1.8839606571606455,1.9577985307510417,1.7992049348166148,35.01783001288972,288.7399551516612,ff,0.20779899999999998,0.124102,0.16595049999999997,4.98776,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004010_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004010_NAND2.log,27,0,0,ff,cell_balanced_space_filling,10,3,0.5853029589925427,0.6748406659493611,0.14511302648891208,0.6748406659493611
4004011,NOR2,A1_A2_tied_to_Z,1.1811804327497921,0.28,2.500691048503688,1.8890996082084022,-0.016353609619326193,89.42061891960121,369.4300902407352,ff,0.231639,0.735842,0.48374049999999996,9.89938,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004011_NOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004011_NOR2.log,54,0,0,ff,cell_balanced_space_filling,11,3,0.5786071670008823,0.868717508861436,0.6418678419761769,0.868717508861436
4004012,XOR2,A1_to_Z_A2_held_1,4.742085652949541,0.28,2.3283212503024346,1.9687623379123846,-18.681837459886623,21.38979972399011,339.244163364233,ff,0.146541,0.166629,0.15658499999999997,9.24108,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004012_XOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004012_XOR2.log,84,0,0,ff,cell_balanced_space_filling,12,3,0.9045897499890998,0.8158154415933753,0.13004306429085224,0.8158154415933753
4004013,INV,I_to_Z,4.975392891693577,0.28,2.6923732989766154,1.8054521180124594,97.82817398658217,26.592074949086598,40.76162221685756,ff,0.055553,0.051622100000000004,0.05358755,4.36479,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004013_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004013_INV.log,1,0,0,ff,cell_balanced_space_filling,13,4,0.3768236249743495,1.0,0.029342457696374415,1.0
4004014,NAND2,A1_A2_tied_to_Z,4.449182490205352,0.28,2.8613423041083266,1.7052710170002943,53.945090486292415,5.421581651330253,264.6973362234511,ff,0.127283,0.0584326,0.0928578,2.88408,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004014_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004014_NAND2.log,46,0,0,ff,cell_balanced_space_filling,14,4,0.5819574999914039,0.8123010241516498,0.0,0.8123010241516498
4004015,NOR2,A1_A2_tied_to_Z,4.211205890159796,0.28,2.31544136170731,1.6948286829693826,79.66991409001804,33.16214618974936,60.482241755574655,ff,0.0477934,0.167935,0.1078642,4.92804,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004015_NOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004015_NOR2.log,48,0,0,ff,cell_balanced_space_filling,15,4,0.565490916982526,0.8758121211409425,0.08284722776803156,0.8758121211409425
