sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled,reference_origin
4001001,INV,I_to_Z,1.400244019001136,0.28,1.5058827248841684,1.7470008603795215,-18.3256827744417,42.83041837440507,87.22735771531502,ff,0.153527,0.262788,0.2081575,4.07101,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001001_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001001_INV.log,0,0,0,ff,cell_balanced_random,1.0,1.0,0.3804573749948758,,0.4037026660406342,0.8214482174791994,existing_online_query
4001025,INV,I_to_Z,4.975392891693577,0.28,2.6923732989766154,1.8054521180124592,97.82817398658216,26.5920749490866,40.76162221685756,ff,0.055553,0.0516221,0.05358755,4.36479,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001025_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001025_INV.log,1,0,0,ff,cell_balanced_random,25.0,7.0,0.4009021660021972,,0.0165363486981825,0.8276395550356672,existing_online_query
4004045,INV,I_to_Z,1.5177755603934469,0.28,2.589078179718366,1.670627836040331,-6.145468492398795,94.31890904317405,258.5380418517133,ff,0.339416,0.365795,0.3526055,7.99484,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/netlists/4004045_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_space_filling/logs/4004045_INV.log,2,0,0,ff,cell_balanced_space_filling,45.0,12.0,0.3795096250250935,1.0,1.0,1.0,existing_online_query
4001045,INV,I_to_Z,3.3369204984144947,0.28,1.7287225218165445,1.7715102242095364,87.84436739178275,37.67901062460033,56.06621330711283,ff,0.0801875,0.113068,0.09662775,4.30629,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001045_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001045_INV.log,3,0,0,ff,cell_balanced_random,45.0,12.0,0.384819625003729,,0.0721731329472461,0.6143994072513871,existing_online_query
4001041,INV,I_to_Z,4.679121634247998,0.28,2.050690265036053,1.6521466798775295,71.30363934637124,62.834103675040794,184.5816228379235,ff,0.120809,0.1504809999999999,0.135645,6.08243,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001041_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001041_INV.log,4,0,0,ff,cell_balanced_random,41.0,11.0,0.3851092080003582,,0.1986008351730389,0.7037299549977648,existing_online_query
4001029,INV,I_to_Z,1.860223458139413,0.28,1.9338555278264735,1.8257037268259304,66.25170892571882,38.93620398071263,482.820487207788,ff,0.196164,0.2520509999999999,0.2241075,4.32293,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001029_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001029_INV.log,5,0,0,ff,cell_balanced_random,29.0,8.0,0.391743416985264,,0.181537026968976,0.4343867234099899,existing_online_query
4001033,INV,I_to_Z,3.7356438778995824,0.28,2.6503940902004297,1.9680807861189369,50.77647697351077,75.98247042848931,116.90410628350088,ff,0.121727,0.118912,0.1203195,10.0827,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001033_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001033_INV.log,6,0,0,ff,cell_balanced_random,33.0,9.0,0.4012408329872414,,0.1029431570161811,0.2807412080781302,existing_online_query
4001021,INV,I_to_Z,1.1729615784258427,0.28,2.927726350453336,1.9041778346280784,77.62961471275162,2.824140269712446,209.0980481683664,ff,0.0614289,0.0608541,0.0611414999999999,0.803265,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001021_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001021_INV.log,7,0,0,ff,cell_balanced_random,21.0,6.0,0.3930738329945598,,0.1197969211006282,0.8698995630554034,existing_online_query
4003028,INV,I_to_Z,1.0327994869950716,0.28,2.49816247997182,1.932339307023355,31.29076847066892,18.409571915909535,286.61245418568046,ff,0.141793,0.153237,0.147515,2.38383,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/uncertainty/netlists/4003028_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/uncertainty/logs/4003028_INV.log,8,0,0,ff,uncertainty,28.0,7.0,0.4290842919726856,0.8647303469107571,0.8647303469107571,0.2791145812144081,existing_online_query
4001013,INV,I_to_Z,0.5881281812274117,0.28,1.6642535874314632,1.9143377819660352,91.26793260827,89.10620531259906,149.48049981576943,ff,0.672944,1.03681,0.854877,9.53084,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001013_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001013_INV.log,9,0,0,ff,cell_balanced_random,13.0,4.0,0.3797052499721758,,1.0,0.7276620087400182,existing_online_query
